suite,run_number,started_at,finished_at,model,temperature,max_turns,status,outcome,planner_attempts,latency_ms,input_tokens,output_tokens,final_output,validation_error,error
ceiling_2,11,2026-09-08T07:55:08.811664+00:00,2026-09-08T07:55:12.573686+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3765.01,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, advising almond-allergic consumers to return for refund.""}",,
ceiling_2,12,2026-09-08T07:55:12.573757+00:00,2026-09-08T07:55:16.386446+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3815.05,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product for refund.""}",,
ceiling_2,13,2026-09-08T07:55:16.386505+00:00,2026-09-08T07:55:20.208589+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3823.93,359,61,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergy sufferers should avoid product and return for refund.""}",,
ceiling_2,14,2026-09-08T07:55:20.208647+00:00,2026-09-08T07:55:23.932008+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3724.76,357,59,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergy sufferers should avoid and return product.""}",,
ceiling_2,15,2026-09-08T07:55:23.932071+00:00,2026-09-08T07:55:27.661673+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3730.71,357,59,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergic consumers should return product for refund.""}",,
ceiling_2,16,2026-09-08T07:55:27.661688+00:00,2026-09-08T07:55:31.400692+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3739.86,357,59,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergy sufferers should avoid and return product.""}",,
ceiling_2,17,2026-09-08T07:55:31.400766+00:00,2026-09-08T07:55:35.124704+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3724.58,356,58,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product.""}",,
ceiling_2,18,2026-09-08T07:55:35.124782+00:00,2026-09-08T07:55:38.615664+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3491.34,356,58,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product.""}",,
ceiling_2,19,2026-09-08T07:55:38.615732+00:00,2026-09-08T07:55:42.431754+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3816.42,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product for refund.""}",,
ceiling_2,20,2026-09-08T07:55:42.431830+00:00,2026-09-08T07:55:46.086131+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3654.58,355,57,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergic consumers should return product.""}",,
ceiling_10,1,2026-09-08T07:55:46.086187+00:00,2026-09-08T07:55:49.931146+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3845.19,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, advising almond-allergic consumers to return for refund.""}",,
ceiling_10,2,2026-09-08T07:55:49.931217+00:00,2026-09-08T07:55:53.778295+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3847.24,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product for refund.""}",,
ceiling_10,3,2026-09-08T07:55:53.778357+00:00,2026-09-08T07:55:57.583809+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3805.57,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds. Almond allergic consumers should return product for refund.""}",,
ceiling_10,4,2026-09-08T07:55:57.583864+00:00,2026-09-08T07:56:01.107056+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3523.26,353,55,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, affecting consumers with allergies.""}",,
ceiling_10,5,2026-09-08T07:56:01.107106+00:00,2026-09-08T07:56:04.896900+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3789.86,357,59,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergy sufferers should avoid and return product.""}",,
ceiling_10,6,2026-09-08T07:56:04.896924+00:00,2026-09-08T07:56:08.716927+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3820.04,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, advising almond-allergic consumers to return for refund.""}",,
ceiling_10,7,2026-09-08T07:56:08.716992+00:00,2026-09-08T07:56:12.454472+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3737.48,357,59,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergic consumers should return product for refund.""}",,
ceiling_10,8,2026-09-08T07:56:12.454548+00:00,2026-09-08T07:56:16.207748+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3753.2,357,59,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergy sufferers should avoid and return product.""}",,
ceiling_10,9,2026-09-08T07:56:16.207791+00:00,2026-09-08T07:56:20.072418+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3864.62,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, advising almond-allergic consumers to return for refund.""}",,
ceiling_10,10,2026-09-08T07:56:20.072488+00:00,2026-09-08T07:56:23.747034+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3674.52,355,57,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergic consumers should return product.""}",,
ceiling_10,11,2026-09-08T07:56:23.747103+00:00,2026-09-08T07:56:27.658408+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3911.28,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product for refund.""}",,
ceiling_10,12,2026-09-08T07:56:27.658457+00:00,2026-09-08T07:56:31.474564+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3816.09,356,58,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, posing a risk to almond allergic consumers.""}",,
ceiling_10,13,2026-09-08T07:56:31.474620+00:00,2026-09-08T07:56:35.319281+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3844.63,356,58,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, advising allergic consumers to return for refund.""}",,
ceiling_10,14,2026-09-08T07:56:35.319349+00:00,2026-09-08T07:56:39.338086+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,4018.67,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product for refund.""}",,
ceiling_10,15,2026-09-08T07:56:39.338210+00:00,2026-09-08T07:56:43.389438+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,4051.17,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, advising almond-allergic consumers to return for refund.""}",,
ceiling_10,16,2026-09-08T07:56:43.389481+00:00,2026-09-08T07:56:47.454585+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,4065.06,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product for refund.""}",,
ceiling_10,17,2026-09-08T07:56:47.454659+00:00,2026-09-08T07:56:51.413010+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3958.29,356,58,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product.""}",,
ceiling_10,18,2026-09-08T07:56:51.413083+00:00,2026-09-08T07:56:55.196663+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,3783.52,356,58,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product.""}",,
ceiling_10,19,2026-09-08T07:56:55.196742+00:00,2026-09-08T07:56:59.416550+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,4219.75,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds. Almond allergic consumers should return product for refund.""}",,
ceiling_10,20,2026-09-08T07:56:59.416604+00:00,2026-09-08T07:57:03.422121+00:00,qwen3:8b,0.7,10,completed,valid_first_attempt,1,4005.46,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds. Almond allergic consumers should return product for refund.""}",,
