temperature,run_number,model,success,tags,summary,latency_ms,error
0.7,17,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach product""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10158.83,
0.7,18,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach product""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10135.33,
0.7,19,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach product""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10173.86,
0.7,20,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10442.98,
0.0,1,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10235.03,
0.0,2,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10338.64,
0.0,3,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10487.69,
0.0,4,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10687.33,
0.0,5,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11074.04,
0.0,6,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10758.81,
0.0,7,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10882.46,
0.0,8,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10900.7,
0.0,9,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10936.42,
0.0,10,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11046.9,
0.0,11,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11005.26,
0.0,12,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11041.02,
0.0,13,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11105.67,
0.0,14,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11127.62,
0.0,15,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11135.04,
0.0,16,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11174.96,
0.0,17,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11161.62,
0.0,18,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11196.89,
0.0,19,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11199.12,
0.0,20,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",11285.88,
