[2026-09-08T07:52:32.607011+00:00] Started HW2 experiments model=qwen3:8b temperature=0.7 seed=3539
[2026-09-08T07:55:05.008562+00:00] suite=ceiling_2 run=09 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3566.73
[2026-09-08T07:55:08.811594+00:00] suite=ceiling_2 run=10 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3806.85
[2026-09-08T07:55:12.573686+00:00] suite=ceiling_2 run=11 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3765.01
[2026-09-08T07:55:16.386446+00:00] suite=ceiling_2 run=12 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3815.05
[2026-09-08T07:55:20.208589+00:00] suite=ceiling_2 run=13 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3823.93
[2026-09-08T07:55:23.932008+00:00] suite=ceiling_2 run=14 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3724.76
[2026-09-08T07:55:27.661673+00:00] suite=ceiling_2 run=15 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3730.71
[2026-09-08T07:55:31.400692+00:00] suite=ceiling_2 run=16 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3739.86
[2026-09-08T07:55:35.124704+00:00] suite=ceiling_2 run=17 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3724.58
[2026-09-08T07:55:38.615664+00:00] suite=ceiling_2 run=18 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3491.34
[2026-09-08T07:55:42.431754+00:00] suite=ceiling_2 run=19 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3816.42
[2026-09-08T07:55:46.086131+00:00] suite=ceiling_2 run=20 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3654.58
[2026-09-08T07:55:49.931146+00:00] suite=ceiling_10 run=01 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3845.19
[2026-09-08T07:55:53.778295+00:00] suite=ceiling_10 run=02 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3847.24
[2026-09-08T07:55:57.583809+00:00] suite=ceiling_10 run=03 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3805.57
[2026-09-08T07:56:01.107056+00:00] suite=ceiling_10 run=04 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3523.26
[2026-09-08T07:56:04.896900+00:00] suite=ceiling_10 run=05 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3789.86
[2026-09-08T07:56:08.716927+00:00] suite=ceiling_10 run=06 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3820.04
[2026-09-08T07:56:12.454472+00:00] suite=ceiling_10 run=07 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3737.48
[2026-09-08T07:56:16.207748+00:00] suite=ceiling_10 run=08 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3753.2
[2026-09-08T07:56:20.072418+00:00] suite=ceiling_10 run=09 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3864.62
[2026-09-08T07:56:23.747034+00:00] suite=ceiling_10 run=10 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3674.52
[2026-09-08T07:56:27.658408+00:00] suite=ceiling_10 run=11 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3911.28
[2026-09-08T07:56:31.474564+00:00] suite=ceiling_10 run=12 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3816.09
[2026-09-08T07:56:35.319281+00:00] suite=ceiling_10 run=13 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3844.63
[2026-09-08T07:56:39.338086+00:00] suite=ceiling_10 run=14 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=4018.67
[2026-09-08T07:56:43.389438+00:00] suite=ceiling_10 run=15 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=4051.17
[2026-09-08T07:56:47.454585+00:00] suite=ceiling_10 run=16 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=4065.06
[2026-09-08T07:56:51.413010+00:00] suite=ceiling_10 run=17 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3958.29
[2026-09-08T07:56:55.196663+00:00] suite=ceiling_10 run=18 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=3783.52
[2026-09-08T07:56:59.416550+00:00] suite=ceiling_10 run=19 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=4219.75
[2026-09-08T07:57:03.422121+00:00] suite=ceiling_10 run=20 ceiling=10 status=completed outcome=valid_first_attempt latency_ms=4005.46
[2026-09-08T07:57:21.849874+00:00] suite=adversarial run=01 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=18421.79
[2026-09-08T07:57:38.459849+00:00] suite=adversarial run=02 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=16609.83
[2026-09-08T07:57:55.371438+00:00] suite=adversarial run=03 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=16911.43
[2026-09-08T07:58:14.399184+00:00] suite=adversarial run=04 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=19027.58
[2026-09-08T07:58:31.519796+00:00] suite=adversarial run=05 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=17120.48
[2026-09-08T07:58:31.523272+00:00] Finished HW2 experiments: 75 total runs
[2026-09-08T08:00:54.208161+00:00] Started post-fix adversarial verification model=qwen3:8b temperature=0.7 seed=3539
[2026-09-08T08:01:10.202183+00:00] suite=adversarial_after_fix run=01 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=15992.65
[2026-09-08T08:01:23.600761+00:00] suite=adversarial_after_fix run=02 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=13398.41
[2026-09-08T08:01:36.603762+00:00] suite=adversarial_after_fix run=03 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=13002.86
[2026-09-08T08:01:49.637636+00:00] suite=adversarial_after_fix run=04 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=13033.77
[2026-09-08T08:02:02.585646+00:00] suite=adversarial_after_fix run=05 ceiling=2 status=abandoned outcome=hit_turn_ceiling latency_ms=12947.87
[2026-09-08T08:02:02.588281+00:00] Finished post-fix adversarial verification: 5 total runs
[2026-09-08T08:03:22.029653+00:00] Started post-fix adversarial verification model=qwen3:8b temperature=0.7 seed=3539
[2026-09-08T08:03:26.886157+00:00] suite=adversarial_after_fix run=01 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=4856.29
[2026-09-08T08:03:31.062497+00:00] suite=adversarial_after_fix run=02 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=4176.24
[2026-09-08T08:03:35.421394+00:00] suite=adversarial_after_fix run=03 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=4358.8
[2026-09-08T08:03:39.062085+00:00] suite=adversarial_after_fix run=04 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3640.62
[2026-09-08T08:03:42.919240+00:00] suite=adversarial_after_fix run=05 ceiling=2 status=completed outcome=valid_first_attempt latency_ms=3857.05
[2026-09-08T08:03:42.921852+00:00] Finished post-fix adversarial verification: 5 total runs
